index,genres,keywords,original_language,popularity,production_companies,release_date,runtime,tagline,title,vote_average,cast,director
2677,Comedy Drama Romance,african american single mother fianc\u00e9 fianc\u00e9e relationship corporation rich man - poor woman,en,4.448494,[],23-02-2012,111,Wesley Deeds is About to Discover the Person He Was Meant to Be.,Good Deeds,6.2,Tyler Perry Phylicia Rash\u0101d Thandie Newton Brian J. White Gabrielle Union,Tyler Perry
2678,Action Adventure Drama Family,based on novel gold treasure coffin human animal relationship,en,13.13724,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Silver Screen Partners IV"", ""id"": 10282}, {""name"": ""Hybrid Productions Inc."", ""id"": 12608}]",18-01-1991,107,"Where civilization ends, their journey begins.",White Fang,6.5,Klaus Maria Brandauer Ethan Hawke Seymour Cassel Susan Hogan James Remar,Randal Kleiser
2679,Comedy Family,,en,4.04701,"[{""name"": ""SNL Studios"", ""id"": 2822}]",08-10-1999,81,Dare to dream.,Superstar,5.1,Molly Shannon Will Ferrell Elaine Hendrix Harland Williams Tom Green,Bruce McCulloch
2680,History Drama,capitalism prime minister argentina margaret thatcher british overseas territory,en,23.3784,"[{""name"": ""UK Film Council"", ""id"": 2452}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""DJ Films"", ""id"": 5654}, {""name"": ""Cin\u00e9Cin\u00e9ma"", ""id"": 6301}, {""name"": ""Path\u00e9"", ""id"": 7981}, {""name"": ""Film4"", ""id"": 9349}, {""name"": ""Goldcrest Pictures"", ""id"": 11843}, {""name"": ""Yuk Films"", ""id"": 19749}]",30-12-2011,105,Never Compromise,The Iron Lady,6.2,Meryl Streep Anthony Stewart Head Harry Lloyd Jim Broadbent Susan Brown,Phyllida Lloyd
2681,Action Adventure Animation Comedy Family,,en,1.446172,"[{""name"": ""Big Idea Productions"", ""id"": 3204}]",04-10-2002,82,Fresh Fish. Mixed Vegetables.,Jonah: A VeggieTales Movie,6.4,Phil Vischer Mike Nawrocki Tim Hodge Lisa Vischer Daniel Anderson,Phil Vischer
2682,Drama Romance,loss of lover sadness los angeles road movie,en,3.650857,"[{""name"": ""Columbia Pictures"", ""id"": 5}]",23-07-1993,109,A Street Romance.,Poetic Justice,6.9,Janet Jackson Tupac Amaru Shakur Regina King Joe Torry Tyra Ferrell,John Singleton
2683,Action Adventure Comedy,record store sexuality autograph underwear painting,en,5.102258,"[{""name"": ""New Line Cinema"", ""id"": 12}]",08-03-2002,95,Money can make people do funny things.,All About the Benjamins,5.8,Ice Cube Mike Epps Tommy Flanagan Carmen Chaplin Eva Mendes,Kevin Bray
2684,Comedy Horror Romance,vampire half vampire,en,6.772615,"[{""name"": ""Paramount Pictures"", ""id"": 4}]",27-10-1995,100,A comic tale of horror and seduction.,Vampire in Brooklyn,4.5,Eddie Murphy Angela Bassett Allen Payne Kadeem Hardison John Witherspoon,Wes Craven
2685,Horror Thriller Fantasy,exorcism examination pact with the devil possession priest,en,11.543363,"[{""name"": ""Warner Bros."", ""id"": 6194}]",17-06-1977,118,It's four years later... what does she remember?,Exorcist II: The Heretic,4.5,Linda Blair Richard Burton Louise Fletcher Max von Sydow Kitty Winn,John Boorman
2686,Horror Thriller,witch independent film curse suitor family,en,7.436315,"[{""name"": ""Media Pro Pictures"", ""id"": 3244}, {""name"": ""Allan Zeman Productions"", ""id"": 3533}, {""name"": ""After Dark Films"", ""id"": 3608}, {""name"": ""Remstar Productions"", ""id"": 4298}, {""name"": ""Sweetpea Entertainment"", ""id"": 8933}, {""name"": ""Redbus Pictures"", ""id"": 20451}, {""name"": ""Midsummer Films"", ""id"": 22705}]",05-05-2005,83,Possession Knows No Bounds,An American Haunting,5.3,Donald Sutherland Sissy Spacek James D'Arcy Matthew Marsh Gaye Brown,Courtney Solomon
2687,Comedy Romance,,en,14.813614,"[{""name"": ""Dimension Films"", ""id"": 7405}]",21-08-2003,83,,My Boss's Daughter,4.4,Ashton Kutcher Tara Reid Andy Richter Jeffrey Tambor Michael Madsen,David Zucker
2688,Thriller Mystery Adventure,hawaii honeymoon double murder murder,en,20.792603,"[{""name"": ""Davis Entertainment"", ""id"": 1302}, {""name"": ""Relativity Media"", ""id"": 7295}, {""name"": ""Rogue"", ""id"": 8853}, {""name"": ""QED International"", ""id"": 11029}, {""name"": ""Tooley Productions"", ""id"": 22539}]",08-06-2009,98,Welcome to paradise. Enter at your own risk.,A Perfect Getaway,6.2,Milla Jovovich Timothy Olyphant Steve Zahn Chris Hemsworth Anthony Ruivivar,David Twohy
2689,Comedy,interracial marriage wedding duringcreditsstinger,en,6.733485,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Sneak Preview Entertainment"", ""id"": 1975}, {""name"": ""Pointe Studios"", ""id"": 55015}]",12-03-2010,103,To have and to hold... 'Til dads do us part.,Our Family Wedding,5.7,Forest Whitaker America Ferrera Carlos Mencia Regina King Lance Gross,Rick Famuyiwa
2690,Comedy,college drug fraternity house pot teen suicide,en,7.708227,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""MTV Films"", ""id"": 746}]",21-08-1998,96,,Dead Man on Campus,5.6,Tom Everett Scott Mark-Paul Gosselaar Poppy Montgomery Lochlyn Munro Randy Pearlstein,Alan Cohn
2691,Comedy Drama War,italy hotel loss of mother ambassador world war ii,en,2.238646,"[{""name"": ""Medusa Produzione"", ""id"": 1702}, {""name"": ""Cattleya"", ""id"": 10102}, {""name"": ""Cineritmo"", ""id"": 10378}, {""name"": ""Film and General Productions"", ""id"": 10379}]",25-03-1999,117,,Tea with Mussolini,5.8,Cher Judi Dench Joan Plowright Maggie Smith Lily Tomlin,Franco Zeffirelli
2692,Horror Thriller,blow job curse fat suit steven king,en,7.866961,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Spelling Films"", ""id"": 10355}]",25-10-1996,92,Let the curse fit the crime.,Thinner,5.5,Robert John Burke Joe Mantegna Lucinda Jenney Michael Constantine Kari Wuhrer,Tom Holland
2693,Drama Music Romance,new york jazz saxophonist falling in love,en,3.876242,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""Chartoff-Winkler Productions"", ""id"": 12252}]",21-06-1977,155,,"New York, New York",6.1,Liza Minnelli Robert De Niro Lionel Stander Barry Primus Dick Miller,Martin Scorsese
2694,Comedy Drama,black people 1970s jazz musician stra\u00dfenkids dysfunctional family,en,1.89218,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""40 Acres & A Mule Filmworks"", ""id"": 4319}]",13-05-1994,115,,Crooklyn,6.7,Alfre Woodard Delroy Lindo David Patrick Kelly Zelda Harris Carlton Williams,Spike Lee
2695,Comedy Romance,,en,4.536745,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}]",16-03-2007,90,In marriage no one can hear you scream.,I Think I Love My Wife,5,Chris Rock Kerry Washington Gina Torres Steve Buscemi Edward Herrmann,Chris Rock
2696,Horror Science Fiction,places and planets space marine future cryogenics space,en,11.220643,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Sean S. Cunningham Films"", ""id"": 17611}, {""name"": ""Crystal Lake Entertainment"", ""id"": 21783}]",24-07-2001,91,Evil has an upgrade.,Jason X,4.5,Kane Hodder Lexa Doig Chuck Campbell Lisa Ryder David Cronenberg,James Isaac
2697,History Drama,hotel senator kitchen marriage crisis politics,en,11.706309,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Bold Films"", ""id"": 2266}, {""name"": ""Holly Wiersma Productions"", ""id"": 21856}]",05-09-2006,120,He saw wrong and tried to right it. He saw suffering and tried to heal it. He saw war and tried to stop it.,Bobby,6.4,Anthony Hopkins Heather Graham Ashton Kutcher Mary Elizabeth Winstead Helen Hunt,Emilio Estevez
2698,Comedy Romance,supermodel stalking models,en,4.66723,"[{""name"": ""Universal Studios"", ""id"": 13}]",02-02-2001,86,Unleash your inner model.,Head Over Heels,5.3,Monica Potter Freddie Prinze Jr. Shalom Harlow Ivana Mili\u010devi\u0107 Sarah Murdoch,Mark Waters
2699,Comedy,halloween friends little brother trick or treating boyfriend girlfriend relationship,en,7.487843,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""Nickelodeon Movies"", ""id"": 2348}, {""name"": ""Anonymous Content"", ""id"": 10039}, {""name"": ""Fake Empire"", ""id"": 13204}]",25-10-2012,87,Some people just can't handle Halloween.,Fun Size,5.5,Victoria Justice Jackson Nicoll Chelsea Handler Josh Pence Jane Levy,Josh Schwartz
2700,Drama,writing lover (female) psychological stress dying and death editor-in-chief,fr,13.65494,"[{""name"": ""France 3 Cin\u00e9ma"", ""id"": 591}, {""name"": ""The Kennedy/Marshall Company"", ""id"": 862}, {""name"": ""Path\u00e9 Renn Productions"", ""id"": 866}, {""name"": ""Banques Populaire Image 7"", ""id"": 1997}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Cin\u00e9Cin\u00e9ma"", ""id"": 6301}, {""name"": ""C.R.R.A.V. Nord Pas de Calais"", ""id"": 11433}, {""name"": ""R\u00e9gion Nord-Pas-de-Calais"", ""id"": 11434}]",22-05-2007,112,Let your imagination set you free,The Diving Bell and the Butterfly,7.4,Mathieu Amalric Emmanuelle Seigner Marie-Jos\u00e9e Croze Anne Consigny Patrick Chesnais,Julian Schnabel
2701,Romance Drama,skateboarding mother american football adultery wife husband relationship,en,11.942862,"[{""name"": ""New Line Cinema"", ""id"": 12}, {""name"": ""Standard Film Company"", ""id"": 716}, {""name"": ""Bona Fide Productions"", ""id"": 2570}]",06-10-2006,136,,Little Children,6.9,Kate Winslet Patrick Wilson Jennifer Connelly Jackie Earle Haley Noah Emmerich,Todd Field
2702,Drama Mystery Thriller,college suspense gossip rumor social experiment,en,5.833687,"[{""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""NPV Entertainment"", ""id"": 172}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Outlaw Productions (I)"", ""id"": 19507}]",21-04-2000,90,"It can turn you on, or turn on you.",Gossip,5.5,Joshua Jackson James Marsden Kate Hudson Lena Headey Norman Reedus,Davis Guggenheim
2703,Drama Romance,adultery woodstock 1960s,en,6.370267,"[{""name"": ""Miramax Films"", ""id"": 14}, {""name"": ""Village Roadshow Pictures"", ""id"": 79}, {""name"": ""Groucho II Film Partnership"", ""id"": 372}, {""name"": ""Punch 21 Productions"", ""id"": 13158}]",29-01-1999,107,It was the summer of Woodstock... when she became the woman she always wanted to be.,A Walk on the Moon,6.2,Diane Lane Viggo Mortensen Liev Schreiber Anna Paquin Tovah Feldshuh,Tony Goldwyn
2704,Action Drama Thriller,police brutality resistance south africa apartheid african national congress,en,4.052219,"[{""name"": ""Mirage Enterprises"", ""id"": 932}, {""name"": ""Studio Canal"", ""id"": 5870}, {""name"": ""Working Title Films"", ""id"": 10163}]",27-10-2006,101,"The spark that ignites us, unites us.",Catch a Fire,6.4,Tim Robbins Derek Luke Bonnie Henna Mncedisi Shabangu Tumisho Masha,Phillip Noyce
2705,Horror Mystery Thriller,hallucination car crash death sole survivor,en,3.231848,[],06-09-2001,84,,Soul Survivors,4.4,Eliza Dushku Melissa Sagemiller Wes Bentley Casey Affleck Angela Featherstone,Stephen Carpenter
2706,Drama Romance,france revolution biography president history,en,0.900442,"[{""name"": ""Merchant Ivory Productions"", ""id"": 2370}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]",31-03-1995,139,A powerful man torn between his love for one woman and his secret desire for another.,Jefferson in Paris,5.2,Nick Nolte Greta Scacchi Thandie Newton Gwyneth Paltrow Jean-Pierre Aumont,James Ivory
2707,Comedy Romance,,en,8.387573,"[{""name"": ""BBC Films"", ""id"": 288}, {""name"": ""Endgame Entertainment"", ""id"": 1205}, {""name"": ""Ealing Studios"", ""id"": 2650}, {""name"": ""Fragile Films"", ""id"": 2651}, {""name"": ""Odyssey Entertainment"", ""id"": 3539}, {""name"": ""Prescience"", ""id"": 6901}, {""name"": ""Joe Abrams Productions"", ""id"": 23068}]",01-01-2008,93,Let's Misbehave!,Easy Virtue,6.3,Jessica Biel Ben Barnes Kristin Scott Thomas Colin Firth Kimberley Nixon,Stephan Elliott
2708,Action Adventure Drama Romance,,en,0.633004,"[{""name"": ""Universal Pictures"", ""id"": 33}, {""name"": ""Ibex Films"", ""id"": 26473}, {""name"": ""FIDCI"", ""id"": 26474}]",02-11-1978,127,,Caravans,5.8,Anthony Quinn Jennifer O'Neill Michael Sarrazin Christopher Lee Joseph Cotten,James Fargo
2709,History Drama,painter,en,9.242554,"[{""name"": ""Film4"", ""id"": 9349}, {""name"": ""Lipsync Productions"", ""id"": 9987}, {""name"": ""Thin Man Films"", ""id"": 10100}, {""name"": ""Focus Features International (FFI)"", ""id"": 11267}, {""name"": ""France 3 Cinema"", ""id"": 16804}, {""name"": ""Xofa Productions"", ""id"": 45503}, {""name"": ""Untitled 13"", ""id"": 47802}]",31-10-2014,150,,Mr. Turner,6.3,Timothy Spall Dorothy Atkinson Marion Bailey Paul Jesson Lesley Manville,Mike Leigh
2710,Drama Romance,whiskey experimental film wallet cult director,fr,1.866443,"[{""name"": ""France 2 Cin\u00e9ma"", ""id"": 83}, {""name"": ""BIM Distribuzione"", ""id"": 225}, {""name"": ""Centre National de la Cin\u00e9matographie"", ""id"": 310}, {""name"": ""Eurimages"", ""id"": 850}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""Studio Canal"", ""id"": 5870}, {""name"": ""TPS Star"", ""id"": 6586}, {""name"": ""R\u00e9gion Ile-de-France"", ""id"": 11246}, {""name"": ""F Comme Film"", ""id"": 11778}, {""name"": ""Cin\u00e9mage 3"", ""id"": 11944}]",20-05-2009,104,,Wild Grass,5.8,Andr\u00e9 Dussollier Sabine Az\u00e9ma Emmanuelle Devos Mathieu Amalric Anne Consigny,Alain Resnais
2711,Drama History,vatican pope concentration camp holocaust schutzstaffel,fr,5.930533,"[{""name"": ""Renn Productions"", ""id"": 82}, {""name"": ""TF1 Films Production"", ""id"": 3823}, {""name"": ""Canal+"", ""id"": 5358}, {""name"": ""K.G Productions"", ""id"": 13837}, {""name"": ""KC Medien"", ""id"": 22182}, {""name"": ""Katharina"", ""id"": 22370}]",13-02-2002,132,Two Men   Two Worlds   One Cause,Amen.,7.1,Ulrich Tukur Mathieu Kassovitz Ulrich M\u00fche Michel Duchaussoy Marcel Iure\u0219,Costa-Gavras
2712,History Action,martial arts sword fight wuxia,zh,4.930129,"[{""name"": ""Lion Rock Productions"", ""id"": 2812}, {""name"": ""Media Asia Films"", ""id"": 5552}, {""name"": ""Beijing Gallop Horse Film & TV Production"", ""id"": 15866}, {""name"": ""Lumiere Motion Picture Company"", ""id"": 21488}, {""name"": ""Beijing Heguchuan TV & Film"", ""id"": 21489}, {""name"": ""Stellar Entertainment"", ""id"": 21490}]",01-09-2010,117,,Reign of Assassins,6.7,Michelle Yeoh Jung Woo-sung Wang Xue-qi Barbie Hsu Shawn Yue,John Woo
2713,Comedy Drama History,friendship war road trip independent film soldier,en,8.747922,[],26-09-2008,113,,The Lucky Ones,6.3,Tim Robbins Rachel McAdams Michael Pe\u00f1a Kerry Bish\u00e9 Molly Hagan,Neil Burger
2714,Drama,new york bus nightmare witness investigation,en,4.898424,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Scott Rudin Productions"", ""id"": 258}, {""name"": ""Mirage Enterprises"", ""id"": 932}, {""name"": ""Gilbert Films"", ""id"": 10161}]",30-09-2011,149,,Margaret,6.1,Anna Paquin Matt Damon Mark Ruffalo Matthew Broderick Jeannie Berlin,Kenneth Lonergan
2715,Comedy Horror,halloween slapstick duringcreditsstinger,en,7.410523,"[{""name"": ""Insight Productions"", ""id"": 4271}]",27-10-2009,90,The most feared monsters in cinematic history have met their match...,Stan Helsing,4,Diora Baird Leslie Nielsen Steve Howey Kenan Thompson Tara Wilson,Bo Zenga
2716,Romance Drama,shyness based on novel unrequited love neighbor family relationships,en,24.210698,"[{""name"": ""Reiner / Greisman Productions"", ""id"": 86256}]",06-08-2010,89,You never forget your first love.,Flipped,7.4,Madeline Carroll Callan McAuliffe Rebecca De Mornay Anthony Edwards John Mahoney,Rob Reiner
2717,Drama Romance,gay countryside homophobia loss of lover wyoming,en,44.135568,"[{""name"": ""River Road Entertainment"", ""id"": 1246}, {""name"": ""Alberta Film Entertainment"", ""id"": 3997}, {""name"": ""Focus Features"", ""id"": 10146}, {""name"": ""Good Machine"", ""id"": 10565}]",02-09-2005,134,Love is a force of nature.,Brokeback Mountain,7.5,Heath Ledger Jake Gyllenhaal Randy Quaid Michelle Williams Anne Hathaway,Ang Lee
2718,Comedy Drama Romance,puberty high school make a match spoiled child gay interest,en,16.051328,"[{""name"": ""Paramount Pictures"", ""id"": 4}]",19-07-1995,97,Sex. Clothes. Popularity. Is there a problem here?,Clueless,6.9,Alicia Silverstone Stacey Dash Brittany Murphy Paul Rudd Donald Faison,Amy Heckerling
2719,Drama Romance,black people wife husband relationship botanist homosexuality,en,9.982885,"[{""name"": ""Clear Blue Sky Productions"", ""id"": 7449}]",01-09-2002,107,It's time to stop hiding from the truth.,Far from Heaven,6.9,Julianne Moore Dennis Quaid Dennis Haysbert Patricia Clarkson Viola Davis,Todd Haynes
2720,Comedy,time travel sequel hot tub duringcreditsstinger,en,16.618874,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""United Artists"", ""id"": 60}, {""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}]",20-02-2015,93,The Laws of Space and Time are About to be Violated.,Hot Tub Time Machine 2,5,Rob Corddry Craig Robinson Clark Duke Adam Scott Chevy Chase,Steve Pink
2721,Drama,asylum french revolution french smuggling maid,en,7.261196,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Industry Entertainment"", ""id"": 376}, {""name"": ""Walrus & Associates"", ""id"": 8780}, {""name"": ""Hollywood Partners"", ""id"": 30257}, {""name"": ""Charenton Productions"", ""id"": 75937}]",22-11-2000,124,There are no bad words... only bad deeds.,Quills,6.8,Geoffrey Rush Kate Winslet Joaquin Phoenix Michael Caine Billie Whitelaw,Philip Kaufman
2722,Comedy Crime,suicide alcohol sex screenwriter underworld,en,32.306455,"[{""name"": ""Blueprint Pictures"", ""id"": 2376}, {""name"": ""CBS Films"", ""id"": 5490}, {""name"": ""British Film Institute (BFI)"", ""id"": 7281}, {""name"": ""Film4"", ""id"": 9349}]",07-09-2012,110,They Won't Take Any Shih Tzu.,Seven Psychopaths,6.7,Colin Farrell Sam Rockwell Woody Harrelson Christopher Walken Tom Waits,Martin McDonagh
2723,Drama Mystery Thriller,woman director,en,4.722403,"[{""name"": ""Franchise Pictures"", ""id"": 1403}, {""name"": ""Focus Features"", ""id"": 10146}, {""name"": ""Jersey Shore"", ""id"": 37497}]",19-01-2001,105,,The Caveman's Valentine,6,Samuel L. Jackson Colm Feore Ann Magnuson Aunjanue Ellis Tamara Tunie,Kasi Lemmons
2724,Drama History War,berlin poison dictator clerk ideology,de,32.445895,"[{""name"": ""Degeto Film"", ""id"": 986}, {""name"": ""EOS Entertainment"", ""id"": 2278}, {""name"": ""Rai Cinema"", ""id"": 2683}, {""name"": ""\u00d6sterreichischer Rundfunk (ORF)"", ""id"": 3391}, {""name"": ""Constantin Film Produktion"", ""id"": 5755}, {""name"": ""Westdeutscher Rundfunk (WDR)"", ""id"": 7025}, {""name"": ""Norddeutscher Rundfunk (NDR)"", ""id"": 7201}]",08-09-2004,156,"April 1945, a nation awaits its...Downfall",Downfall,7.7,Bruno Ganz Alexandra Maria Lara Corinna Harfouch Ulrich Matthes Juliane K\u00f6hler,Oliver Hirschbiegel
2725,Drama,brother brother relationship paraplegic intensive care ladykiller wheelchair,es,17.363739,"[{""name"": ""Canal Plus"", ""id"": 104}, {""name"": ""Sogecine"", ""id"": 692}, {""name"": ""Himen\u00f3ptero"", ""id"": 784}, {""name"": ""Eurimages"", ""id"": 850}, {""name"": ""Televisi\u00f3n Espa\u00f1ola (TVE)"", ""id"": 6639}, {""name"": ""Union G\u00e9n\u00e9rale Cin\u00e9matographique (UGC)"", ""id"": 7248}, {""name"": ""Televisi\u00f3n de Galicia (TVG) S.A."", ""id"": 10050}, {""name"": ""Ministerio de Cultura"", ""id"": 11408}, {""name"": ""Sogepaq"", ""id"": 11955}, {""name"": ""Eyescreen S.r.l."", ""id"": 12012}, {""name"": ""Filmanova"", ""id"": 28812}]",03-09-2004,125,Sensitive Drama About a Polemic Theme,The Sea Inside,7.2,Javier Bardem Bel\u00e9n Rueda Lola Due\u00f1as Joan Dalmau Josep Maria Pou,Alejandro Amen\u00e1bar
2726,Thriller Science Fiction Drama,male nudity scotland edinburgh alien very little dialogue,en,29.782161,"[{""name"": ""Scottish Screen"", ""id"": 698}, {""name"": ""UK Film Council"", ""id"": 2452}, {""name"": ""FilmNation Entertainment"", ""id"": 7493}, {""name"": ""Nick Wechsler Productions"", ""id"": 8073}, {""name"": ""Creative Scotland"", ""id"": 8087}, {""name"": ""British Film Institute"", ""id"": 8092}, {""name"": ""Film4"", ""id"": 9349}, {""name"": ""Silver Reel"", ""id"": 12075}, {""name"": ""JW Films"", ""id"": 27543}, {""name"": ""A24"", ""id"": 41077}]",14-03-2014,108,A mysterious seductress preys upon the population of Scotland,Under the Skin,6,Scarlett Johansson Kry\u0161tof H\u00e1dek Paul Brannigan Michael Moreland Scott Dymond,Jonathan Glazer
2727,Comedy Drama War,rock and roll radio station war crimes entertainer explosive,en,18.362333,"[{""name"": ""Silver Screen Partners III"", ""id"": 554}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]",23-12-1987,121,Time to rock it from the Delta to the DMZ!,"Good Morning, Vietnam",7.1,Robin Williams Forest Whitaker Tung Thanh Tran Chintara Sukapatana Bruno Kirby,Barry Levinson
2728,Action Comedy Thriller,,en,0.680753,[],29-12-2010,100,,The Last Godfather,4.7,Harvey Keitel Jason Mewes Blake Clark Jon Polito Paul Hipp,Shim Hyung-Rae
2729,Documentary Music Family,manager canada pop singer star prayer,en,6.735922,"[{""name"": ""Insurge Pictures"", ""id"": 7377}, {""name"": ""Magical Elves Productions"", ""id"": 7378}, {""name"": ""Scooter Braun Films"", ""id"": 7379}]",11-02-2011,105,Find out what's possible if you never give up.,Justin Bieber: Never Say Never,4.8,Justin Bieber Miley Cyrus Usher Raymond Jaden Smith Sean Kingston,Jon M. Chu
2730,Drama Thriller,dancing competition sex dancer obsession,en,91.285683,"[{""name"": ""Fox Searchlight Pictures"", ""id"": 43}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Protozoa Pictures"", ""id"": 7503}, {""name"": ""Cross Creek Pictures"", ""id"": 10246}]",02-12-2010,108,"In the era of personal branding, the scariest possibility is that someone might be better at being you than you are.",Black Swan,7.3,Natalie Portman Mila Kunis Vincent Cassel Barbara Hershey Winona Ryder,Darren Aronofsky
2731,Drama Crime,italo-american cuba vororte melancholy praise,en,105.792936,"[{""name"": ""Paramount Pictures"", ""id"": 4}, {""name"": ""The Coppola Company"", ""id"": 536}]",20-12-1974,200,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",The Godfather: Part II,8.3,Al Pacino Robert Duvall Diane Keaton Robert De Niro John Cazale,Francis Ford Coppola
2732,Drama Family Romance Music,ballet dancer musical ballet,en,9.969624,"[{""name"": ""MTV Films"", ""id"": 746}, {""name"": ""Cort/Madden Productions"", ""id"": 53673}]",12-01-2001,112,The Only Person You Need To Be Is Yourself.,Save the Last Dance,6.3,Julia Stiles Sean Patrick Thomas Kerry Washington Fredro Starr Terry Kinney,Thomas Carter
2733,Horror Thriller,martial arts nightmare supernatural high school resurrection,en,17.113408,"[{""name"": ""New Line Cinema"", ""id"": 12}]",19-08-1988,99,Terror beyond your wildest dreams.,A Nightmare on Elm Street 4: The Dream Master,5.8,Robert Englund Tuesday Knight Ken Sagoes Rodney Eastman Lisa Wilcox,Renny Harlin
2734,Drama,miracle christian cure woman director accident,en,10.248439,"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Sony Pictures Entertainment"", ""id"": 5752}]",17-03-2016,117,How do we explain the impossible?,Miracles from Heaven,6.7,Jennifer Garner Kylie Rogers Martin Henderson Brighton Sharbino Courtney Fansler,Patricia Riggen
2735,Comedy,dude amnesia idiot auto friendship,en,25.316146,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Alcon Entertainment"", ""id"": 1088}]",15-12-2000,83,"After a night they can't remember, comes a day they'll never forget.","Dude, Where’s My Car?",5.2,Ashton Kutcher Seann William Scott Kristy Swanson Jennifer Garner Marla Sokoloff,Danny Leiner
2736,Crime Action Adventure Drama Western,corruption sheriff deputy sheriff ranch billy the kid,en,9.499325,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Morgan Creek Productions"", ""id"": 10210}]",12-08-1988,107,Six reasons why the west was wild.,Young Guns,6.6,Emilio Estevez Kiefer Sutherland Lou Diamond Phillips Charlie Sheen Dermot Mulroney,Christopher Cain
2737,Comedy,babysitter friendship neighbor divorce child of divorce,en,43.791745,"[{""name"": ""The Weinstein Company"", ""id"": 308}, {""name"": ""Crescendo Productions"", ""id"": 3314}, {""name"": ""Chernin Entertainment"", ""id"": 7076}, {""name"": ""Goldenlight Films"", ""id"": 15855}]",09-10-2014,102,Love Thy Neighbor,St. Vincent,7.1,Bill Murray Melissa McCarthy Naomi Watts Jaeden Lieberher Chris O'Dowd,Theodore Melfi
2738,Comedy Romance,duringcreditsstinger,en,11.828068,"[{""name"": ""Screen Gems, Inc."", ""id"": 127}, {""name"": ""Rainforest Films"", ""id"": 1309}, {""name"": ""Olive Bridge Entertainment"", ""id"": 7291}]",14-02-2014,100,It's about compromise. It's about love. It's about a good wingman.,About Last Night,6,Kevin Hart Michael Ealy Regina Hall Joy Bryant Christopher McDonald,Steve Pink
2739,Comedy Romance Drama,shakespeare sister high school cannabis deception,en,54.550275,"[{""name"": ""Mad Chance"", ""id"": 1757}, {""name"": ""Jaret Entertainment"", ""id"": 1783}, {""name"": ""Touchstone Pictures"", ""id"": 9195}]",30-03-1999,97,How do I loathe thee? Let me count the ways.,10 Things I Hate About You,7.3,Heath Ledger Julia Stiles Joseph Gordon-Levitt Larisa Oleynik David Krumholtz,Gil Junger
2740,Comedy Family,prison dual identity identity loser high school,en,13.525704,"[{""name"": ""Revolution Studios"", ""id"": 497}, {""name"": ""Frontier Pictures"", ""id"": 11837}, {""name"": ""Bedlam Pictures"", ""id"": 51753}]",10-05-2002,88,A zero will rise.,The New Guy,5.7,DJ Qualls Eliza Dushku Zooey Deschanel Lyle Lovett Jerod Mixon,Ed Decter
2741,Comedy,cocaine police spoof los angeles,en,12.963328,"[{""name"": ""New Line Cinema"", ""id"": 12}]",04-02-1993,84,See it before they make the sequel!,National Lampoon's Loaded Weapon 1,5.7,Emilio Estevez Samuel L. Jackson Jon Lovitz Tim Curry Kathy Ireland,Gene Quintano
2742,Horror Drama Thriller,mexico beach surfer island survival,en,60.829621,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Ombra Films"", ""id"": 23513}, {""name"": ""Weimaraner Republic Pictures"", ""id"": 67069}]",24-06-2016,86,What was once in the deep is now in the shallows.,The Shallows,6.2,Blake Lively \u00d3scar Jaenada Angelo Josue Lozano Corzo Jos\u00e9 Manuel Trujillo Salas Brett Cullen,Jaume Collet-Serra
